Program,CPU,Compiler,Version,Iterations,Runtime
bits-satoi,Xeon E2695v3,g++,8.4.0,5000,0.008067
sse,Xeon E2695v3,g++,8.4.0,5000,0.032119
naive,Xeon E2695v3,g++,8.4.0,5000,0.009393
defered2,Xeon E2695v3,g++,8.4.0,5000,0.006074
satoi,Xeon E2695v3,g++,8.4.0,5000,0.006187
unroll2,Xeon E2695v3,g++,8.4.0,5000,0.004733
unroll1,Xeon E2695v3,g++,8.4.0,5000,0.006822
defered3,Xeon E2695v3,g++,8.4.0,5000,0.00509
unroll4,Xeon E2695v3,g++,8.4.0,5000,0.005531
avx,Xeon E2695v3,g++,8.4.0,5000,0.008284
atoi,Xeon E2695v3,g++,9.3.0,5000,0.052729
reorder,Xeon E2695v3,g++,9.3.0,5000,0.005848
lut2,Xeon E2695v3,g++,9.3.0,5000,0.008499
boost,Xeon E2695v3,g++,9.3.0,5000,0.065846
defered4,Xeon E2695v3,g++,9.3.0,5000,0.005016
defered1,Xeon E2695v3,g++,9.3.0,5000,0.006485
lut1,Xeon E2695v3,g++,9.3.0,5000,0.009818
bits,Xeon E2695v3,g++,9.3.0,5000,0.010104
pext,Xeon E2695v3,g++,9.3.0,5000,0.004938
nobranch,Xeon E2695v3,g++,9.3.0,5000,0.00995
unroll3,Xeon E2695v3,g++,9.3.0,5000,0.008858
lut3,Xeon E2695v3,g++,9.3.0,5000,0.007361
bits-satoi,Xeon E2695v3,g++,9.3.0,5000,0.00792
sse,Xeon E2695v3,g++,9.3.0,5000,0.031136
naive,Xeon E2695v3,g++,9.3.0,5000,0.009344
defered2,Xeon E2695v3,g++,9.3.0,5000,0.005944
satoi,Xeon E2695v3,g++,9.3.0,5000,0.006082
unroll2,Xeon E2695v3,g++,9.3.0,5000,0.006298
unroll1,Xeon E2695v3,g++,9.3.0,5000,0.006811
defered3,Xeon E2695v3,g++,9.3.0,5000,0.005188
unroll4,Xeon E2695v3,g++,9.3.0,5000,0.005517
avx,Xeon E2695v3,g++,9.3.0,5000,0.00816
atoi,Xeon E2695v3,g++,7.5.0,5000,0.053981
reorder,Xeon E2695v3,g++,7.5.0,5000,0.005744
lut2,Xeon E2695v3,g++,7.5.0,5000,0.011594
boost,Xeon E2695v3,g++,7.5.0,5000,0.063189
defered4,Xeon E2695v3,g++,7.5.0,5000,0.005016
defered1,Xeon E2695v3,g++,7.5.0,5000,0.005919
lut1,Xeon E2695v3,g++,7.5.0,5000,0.00999
bits,Xeon E2695v3,g++,7.5.0,5000,0.006828
pext,Xeon E2695v3,g++,7.5.0,5000,0.005067
nobranch,Xeon E2695v3,g++,7.5.0,5000,0.009913
unroll3,Xeon E2695v3,g++,7.5.0,5000,0.007282
lut3,Xeon E2695v3,g++,7.5.0,5000,0.006735
bits-satoi,Xeon E2695v3,g++,7.5.0,5000,0.008071
sse,Xeon E2695v3,g++,7.5.0,5000,0.030307
naive,Xeon E2695v3,g++,7.5.0,5000,0.010335
defered2,Xeon E2695v3,g++,7.5.0,5000,0.005483
satoi,Xeon E2695v3,g++,7.5.0,5000,0.006072
unroll2,Xeon E2695v3,g++,7.5.0,5000,0.006431
unroll1,Xeon E2695v3,g++,7.5.0,5000,0.007104
defered3,Xeon E2695v3,g++,7.5.0,5000,0.00509
unroll4,Xeon E2695v3,g++,7.5.0,5000,0.005224
avx,Xeon E2695v3,g++,7.5.0,5000,0.008998
atoi,Xeon E2695v3,clang++,7.0.12,5000,0.052744
reorder,Xeon E2695v3,clang++,7.0.12,5000,0.005891
lut2,Xeon E2695v3,clang++,7.0.12,5000,0.011892
boost,Xeon E2695v3,clang++,7.0.12,5000,0.137759
defered4,Xeon E2695v3,clang++,7.0.12,5000,0.009284
defered1,Xeon E2695v3,clang++,7.0.12,5000,0.00592
lut1,Xeon E2695v3,clang++,7.0.12,5000,0.009671
bits,Xeon E2695v3,clang++,7.0.12,5000,0.009996
pext,Xeon E2695v3,clang++,7.0.12,5000,0.010971
nobranch,Xeon E2695v3,clang++,7.0.12,5000,0.014936
unroll3,Xeon E2695v3,clang++,7.0.12,5000,0.012064
lut3,Xeon E2695v3,clang++,7.0.12,5000,0.010247
bits-satoi,Xeon E2695v3,clang++,7.0.12,5000,0.006723
sse,Xeon E2695v3,clang++,7.0.12,5000,0.020128
naive,Xeon E2695v3,clang++,7.0.12,5000,0.01249
defered2,Xeon E2695v3,clang++,7.0.12,5000,0.005948
satoi,Xeon E2695v3,clang++,7.0.12,5000,0.006328
unroll2,Xeon E2695v3,clang++,7.0.12,5000,0.012578
unroll1,Xeon E2695v3,clang++,7.0.12,5000,0.014467
defered3,Xeon E2695v3,clang++,7.0.12,5000,0.009185
unroll4,Xeon E2695v3,clang++,7.0.12,5000,0.006084
avx,Xeon E2695v3,clang++,7.0.12,5000,0.009
atoi,Xeon E2695v3,clang++,8.0.1,5000,0.05293
reorder,Xeon E2695v3,clang++,8.0.1,5000,0.005909
lut2,Xeon E2695v3,clang++,8.0.1,5000,0.011894
boost,Xeon E2695v3,clang++,8.0.1,5000,0.136187
defered4,Xeon E2695v3,clang++,8.0.1,5000,0.009224
defered1,Xeon E2695v3,clang++,8.0.1,5000,0.005924
lut1,Xeon E2695v3,clang++,8.0.1,5000,0.009676
bits,Xeon E2695v3,clang++,8.0.1,5000,0.009853
pext,Xeon E2695v3,clang++,8.0.1,5000,0.011089
nobranch,Xeon E2695v3,clang++,8.0.1,5000,0.015076
unroll3,Xeon E2695v3,clang++,8.0.1,5000,0.012301
lut3,Xeon E2695v3,clang++,8.0.1,5000,0.010244
bits-satoi,Xeon E2695v3,clang++,8.0.1,5000,0.00671
sse,Xeon E2695v3,clang++,8.0.1,5000,0.027846
naive,Xeon E2695v3,clang++,8.0.1,5000,0.012471
defered2,Xeon E2695v3,clang++,8.0.1,5000,0.006012
satoi,Xeon E2695v3,clang++,8.0.1,5000,0.006345
unroll2,Xeon E2695v3,clang++,8.0.1,5000,0.012559
unroll1,Xeon E2695v3,clang++,8.0.1,5000,0.014269
defered3,Xeon E2695v3,clang++,8.0.1,5000,0.009177
unroll4,Xeon E2695v3,clang++,8.0.1,5000,0.006118
avx,Xeon E2695v3,clang++,8.0.1,5000,0.008908
atoi,Xeon E2695v3,clang++,9.0.12,5000,0.052959
reorder,Xeon E2695v3,clang++,9.0.12,5000,0.00593
lut2,Xeon E2695v3,clang++,9.0.12,5000,0.012318
boost,Xeon E2695v3,clang++,9.0.12,5000,0.09394
defered4,Xeon E2695v3,clang++,9.0.12,5000,0.009221
defered1,Xeon E2695v3,clang++,9.0.12,5000,0.00592
lut1,Xeon E2695v3,clang++,9.0.12,5000,0.009628
bits,Xeon E2695v3,clang++,9.0.12,5000,0.010537
pext,Xeon E2695v3,clang++,9.0.12,5000,0.010984
nobranch,Xeon E2695v3,clang++,9.0.12,5000,0.014472
unroll3,Xeon E2695v3,clang++,9.0.12,5000,0.012243
lut3,Xeon E2695v3,clang++,9.0.12,5000,0.01048
bits-satoi,Xeon E2695v3,clang++,9.0.12,5000,0.006829
sse,Xeon E2695v3,clang++,9.0.12,5000,0.02768
naive,Xeon E2695v3,clang++,9.0.12,5000,0.012371
defered2,Xeon E2695v3,clang++,9.0.12,5000,0.005704
satoi,Xeon E2695v3,clang++,9.0.12,5000,0.006376
unroll2,Xeon E2695v3,clang++,9.0.12,5000,0.013053
unroll1,Xeon E2695v3,clang++,9.0.12,5000,0.012329
defered3,Xeon E2695v3,clang++,9.0.12,5000,0.009136
unroll4,Xeon E2695v3,clang++,9.0.12,5000,0.005842
avx,Xeon E2695v3,clang++,9.0.12,5000,0.008989
atoi,Xeon E2695v3,clang++,10.0.0,5000,0.052954
reorder,Xeon E2695v3,clang++,10.0.0,5000,0.005934
lut2,Xeon E2695v3,clang++,10.0.0,5000,0.011924
boost,Xeon E2695v3,clang++,10.0.0,5000,0.107266
defered4,Xeon E2695v3,clang++,10.0.0,5000,0.009153
defered1,Xeon E2695v3,clang++,10.0.0,5000,0.005946
lut1,Xeon E2695v3,clang++,10.0.0,5000,0.009667
bits,Xeon E2695v3,clang++,10.0.0,5000,0.010594
pext,Xeon E2695v3,clang++,10.0.0,5000,0.011007
nobranch,Xeon E2695v3,clang++,10.0.0,5000,0.014485
unroll3,Xeon E2695v3,clang++,10.0.0,5000,0.012268
lut3,Xeon E2695v3,clang++,10.0.0,5000,0.011762
bits-satoi,Xeon E2695v3,clang++,10.0.0,5000,0.006828
sse,Xeon E2695v3,clang++,10.0.0,5000,0.028475
naive,Xeon E2695v3,clang++,10.0.0,5000,0.012313
defered2,Xeon E2695v3,clang++,10.0.0,5000,0.005757
satoi,Xeon E2695v3,clang++,10.0.0,5000,0.006686
unroll2,Xeon E2695v3,clang++,10.0.0,5000,0.025291
unroll1,Xeon E2695v3,clang++,10.0.0,5000,0.007773
defered3,Xeon E2695v3,clang++,10.0.0,5000,0.009168
unroll4,Xeon E2695v3,clang++,10.0.0,5000,0.005832
avx,Xeon E2695v3,clang++,10.0.0,5000,0.008881
atoi,Xeon E2695v3,clang++,11.0,5000,0.05299
reorder,Xeon E2695v3,clang++,11.0,5000,0.005914
lut2,Xeon E2695v3,clang++,11.0,5000,0.012106
boost,Xeon E2695v3,clang++,11.0,5000,0.103754
defered4,Xeon E2695v3,clang++,11.0,5000,0.009172
defered1,Xeon E2695v3,clang++,11.0,5000,0.005954
lut1,Xeon E2695v3,clang++,11.0,5000,0.009643
bits,Xeon E2695v3,clang++,11.0,5000,0.010683
pext,Xeon E2695v3,clang++,11.0,5000,0.010971
nobranch,Xeon E2695v3,clang++,11.0,5000,0.014537
unroll3,Xeon E2695v3,clang++,11.0,5000,0.012165
lut3,Xeon E2695v3,clang++,11.0,5000,0.01178
bits-satoi,Xeon E2695v3,clang++,11.0,5000,0.006774
sse,Xeon E2695v3,clang++,11.0,5000,0.020769
naive,Xeon E2695v3,clang++,11.0,5000,0.011921
defered2,Xeon E2695v3,clang++,11.0,5000,0.005785
satoi,Xeon E2695v3,clang++,11.0,5000,0.00676
unroll2,Xeon E2695v3,clang++,11.0,5000,0.025286
unroll1,Xeon E2695v3,clang++,11.0,5000,0.007812
defered3,Xeon E2695v3,clang++,11.0,5000,0.009151
unroll4,Xeon E2695v3,clang++,11.0,5000,0.005953
avx,Xeon E2695v3,clang++,11.0,5000,0.008782
atoi,Xeon E2695v3,clang++,12.0.0,5000,0.052934
reorder,Xeon E2695v3,clang++,12.0.0,5000,0.005918
lut2,Xeon E2695v3,clang++,12.0.0,5000,0.008456
boost,Xeon E2695v3,clang++,12.0.0,5000,0.078762
defered4,Xeon E2695v3,clang++,12.0.0,5000,0.006573
defered1,Xeon E2695v3,clang++,12.0.0,5000,0.005992
lut1,Xeon E2695v3,clang++,12.0.0,5000,0.009891
bits,Xeon E2695v3,clang++,12.0.0,5000,0.010273
pext,Xeon E2695v3,clang++,12.0.0,5000,0.010754
nobranch,Xeon E2695v3,clang++,12.0.0,5000,0.014453
unroll3,Xeon E2695v3,clang++,12.0.0,5000,0.012186
lut3,Xeon E2695v3,clang++,12.0.0,5000,0.01176
bits-satoi,Xeon E2695v3,clang++,12.0.0,5000,0.006836
sse,Xeon E2695v3,clang++,12.0.0,5000,0.028471
naive,Xeon E2695v3,clang++,12.0.0,5000,0.012198
defered2,Xeon E2695v3,clang++,12.0.0,5000,0.006011
satoi,Xeon E2695v3,clang++,12.0.0,5000,0.006468
unroll2,Xeon E2695v3,clang++,12.0.0,5000,0.024747
unroll1,Xeon E2695v3,clang++,12.0.0,5000,0.008088
defered3,Xeon E2695v3,clang++,12.0.0,5000,0.00914
unroll4,Xeon E2695v3,clang++,12.0.0,5000,0.005664
avx,Xeon E2695v3,clang++,12.0.0,5000,0.008901
